Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
DR13_2	91782334.0	295.0	87900287.0	95.77	293.99	91638613.0	90788500.0	90717308.0	712876.0	65398.0	143031.0	0.44	0.01	1.99	0.01	1.68	2500065.0	2.72	20977.0	0.02	0.0	1.45	0.03	0	1333417	27588
DR19_2	82025934.0	295.0	78252279.0	95.4	293.47	83184834.0	82479543.0	82382371.0	623855.0	54357.0	124251.0	0.46	0.01	1.84	0.01	1.72	2371581.0	2.89	17190.0	0.02	0.0	1.66	0.03	0	1360300	24584
DR22_2	121075366.0	293.0	115353374.0	95.27	292.38	120509777.0	119490517.0	119347677.0	892629.0	88299.0	181172.0	0.43	0.01	1.87	0.01	1.68	4013992.0	3.32	27600.0	0.02	0.0	1.36	0.03	0	1644132	36268
DR25-seq	67439448.0	293.0	63694428.0	94.45	292.04	63872520.0	63272489.0	63214780.0	504098.0	48362.0	105280.0	0.46	0.01	1.94	0.01	1.72	2374982.0	3.52	17718.0	0.03	0.0	1.97	0.04	0	1325408	26912
DR28-seq	94744369.0	295.0	89820872.0	94.8	293.5	90193925.0	89386531.0	89296482.0	684932.0	67472.0	145039.0	0.44	0.01	1.85	0.01	1.67	3367572.0	3.55	23835.0	0.03	0.0	1.58	0.03	0	1503542	28548
DR34-seq	70203518.0	295.0	67006731.0	95.45	293.69	69857791.0	69244508.0	69178283.0	524766.0	46831.0	107911.0	0.48	0.01	1.9	0.01	1.71	1963557.0	2.8	17545.0	0.02	0.0	1.7	0.04	0	1187738	27947
DR37-seq	85366807.0	295.0	76415890.0	89.51	293.55	79259989.0	78567873.0	78501537.0	587757.0	53378.0	117317.0	0.46	0.01	1.82	0.01	1.73	7427594.0	8.7	30445.0	0.04	0.0	1.72	0.03	0	1467286	25592
DR40-seq	75809619.0	294.0	71228524.0	93.96	293.04	73073346.0	72316191.0	72309240.0	589501.0	56997.0	117608.0	0.47	0.01	1.9	0.01	1.73	2967069.0	3.91	18011.0	0.02	0.0	2.08	0.03	0	1573323	22692
DR43-seq	73556551.0	294.0	70001526.0	95.17	292.12	72262147.0	71628672.0	71561769.0	542619.0	47872.0	109887.0	0.5	0.01	1.84	0.01	1.72	2142058.0	2.91	15891.0	0.02	0.0	1.87	0.03	0	1375017	22059
HSAMDCD1	93656958.0	293.0	89227242.0	95.27	292.65	89005057.0	85766456.0	87802777.0	888246.0	82719.0	231315.0	0.17	0.01	1.98	0.01	1.87	3220804.0	3.44	46026.0	0.05	0.0	1.18	0.06	0	1106617	56269
HSD3C1	91085151.0	293.0	87731501.0	96.32	292.93	89690736.0	87920075.0	88613139.0	787289.0	81299.0	209009.0	0.17	0.01	1.99	0.01	1.79	2241910.0	2.46	33993.0	0.04	0.0	1.13	0.05	0	1032080	45667
HSTJP11	85764516.0	293.0	82240501.0	95.89	292.33	83236728.0	81189406.0	82162566.0	799763.0	76246.0	198153.0	0.18	0.01	2.04	0.01	1.81	1968024.0	2.29	46553.0	0.05	0.0	1.67	0.09	0	1432251	77187
KB10-seq	61241118.0	151.0	55689505.0	90.93	150.74	32189491.0	31915691.0	31857989.0	253401.0	32521.0	45580.0	0.29	0.0	1.98	0.01	1.27	2162618.0	3.53	29187.0	0.05	0.0	5.45	0.04	0	3335329	24479
MF_1	95476586.0	291.0	90724726.0	95.02	291.41	100952365.0	99975517.0	99879652.0	801163.0	73354.0	198196.0	0.2	0.01	2.03	0.01	1.73	3242958.0	3.4	20487.0	0.02	0.0	1.52	0.03	0	1459607	28808
MF_2	113072023.0	291.0	106101084.0	93.83	290.86	118990341.0	117882440.0	117781546.0	903873.0	84069.0	220853.0	0.2	0.01	1.87	0.01	1.72	5202373.0	4.6	25799.0	0.02	0.0	1.51	0.03	0	1708817	33950
