Well.names,Area,Drug
D07,162,20(S
D08,425,20(S
D09,200,20(S
D09,259,20(S
D09,116,20(S
D07,841,20(S
D08,239,20(S
D09,301,20(S
D07,166,20(S
D09,132,20(S
D07,1097,20(S
D09,724,20(S
D08,390,20(S
D07,339,20(S
D08,637,20(S
D09,1063,20(S
D08,416,20(S
D07,174,20(S
D08,302,20(S
D07,264,20(S
D07,76,20(S
D09,163,20(S
D09,360,20(S
D07,498,20(S
D08,185,20(S
D07,572,20(S
D09,120,20(S
D09,406,20(S
D09,346,20(S
D08,135,20(S
D09,228,20(S
D07,964,20(S
D08,690,20(S
D08,409,20(S
D09,655,20(S
D09,327,20(S
D07,753,20(S
D08,1401,20(S
D08,1494,20(S
D08,178,20(S
D09,209,20(S
D09,105,20(S
D09,411,20(S
D08,701,20(S
D09,511,20(S
D09,285,20(S
D09,2487,20(S
D09,395,20(S
D09,157,20(S
D07,96,20(S
D07,547,20(S
D07,199,20(S
D08,288,20(S
D07,393,20(S
D07,124,20(S
D08,414,20(S
D09,278,20(S
D09,499,20(S
D07,141,20(S
D08,185,20(S
D09,266,20(S
D08,630,20(S
D08,2472,20(S
D09,1162,20(S
D09,1596,20(S
D07,370,20(S
D09,228,20(S
D08,315,20(S
D09,381,20(S
D08,2397,20(S
D07,200,20(S
D07,52,20(S
D07,394,20(S
D07,293,20(S
D09,279,20(S
D07,862,20(S
D07,2933,20(S
D09,64,20(S
D08,1032,20(S
D09,478,20(S
D09,389,20(S
D07,249,20(S
D09,57,20(S
D09,801,20(S
D09,177,20(S
D07,501,20(S
D07,217,20(S
D08,142,20(S
D07,1031,20(S
D07,303,20(S
D07,256,20(S
D08,204,20(S
D09,2277,20(S
D07,90,20(S
D09,489,20(S
D09,931,20(S
D08,312,20(S
D07,68,20(S
D07,1124,20(S
D07,177,20(S
D08,742,20(S
D09,277,20(S
D07,579,20(S
D07,87,20(S
D08,204,20(S
D09,710,20(S
D08,107,20(S
D08,254,20(S
D07,984,20(S
D07,198,20(S
D09,2453,20(S
D09,1227,20(S
D09,794,20(S
D08,212,20(S
D07,804,20(S
D07,423,20(S
D08,125,20(S
D09,592,20(S
D07,442,20(S
D07,207,20(S
D09,158,20(S
D09,2453,20(S
D09,58,20(S
D07,596,20(S
D07,1193,20(S
D07,470,20(S
D08,3787,20(S
D07,137,20(S
D09,427,20(S
D08,108,20(S
D07,1082,20(S
D08,114,20(S
D07,312,20(S
D08,278,20(S
D07,262,20(S
D09,236,20(S
D08,305,20(S
D08,74,20(S
D09,399,20(S
D09,552,20(S
D07,241,20(S
D07,335,20(S
D09,116,20(S
D08,279,20(S
D09,144,20(S
D09,237,20(S
D09,291,20(S
D09,204,20(S
D07,243,20(S
D09,235,20(S
D07,375,20(S
D09,588,20(S
D07,289,20(S
D08,223,20(S
D09,269,20(S
D08,731,20(S
D08,800,20(S
D09,292,20(S
D09,876,20(S
D07,241,20(S
D08,279,20(S
D07,456,20(S
D08,829,20(S
D07,191,20(S
D07,175,20(S
D08,68,20(S
D08,706,20(S
D07,273,20(S
D08,239,20(S
D09,380,20(S
D07,492,20(S
D09,1783,20(S
D08,591,20(S
D07,247,20(S
D09,126,20(S
D09,262,20(S
D07,420,20(S
D07,420,20(S
D07,471,20(S
D08,377,20(S
D08,149,20(S
D09,152,20(S
D07,274,20(S
D09,84,20(S
D07,1161,20(S
D07,99,20(S
D08,1577,20(S
D09,134,20(S
D08,1014,20(S
D07,151,20(S
D09,203,20(S
D08,1092,20(S
D09,567,20(S
D08,677,20(S
D09,294,20(S
D08,560,20(S
D08,993,20(S
D08,405,20(S
D07,374,20(S
D09,280,20(S
D08,658,20(S
D07,269,20(S
D09,322,20(S
D09,1095,20(S
D07,402,20(S
D07,257,20(S
D08,101,20(S
D09,287,20(S
D09,325,20(S
D08,163,20(S
D09,524,20(S
D09,126,20(S
